Year,Month,Category,Value
2018,January,Mayonnaise,254
2018,January,Ketchup,125
2018,January,Mustard,189
2018,January,Soy sauce,126
2018,January,Barbecue sauce,129
2018,February,Mayonnaise,237
2018,February,Ketchup,113
2018,February,Mustard,173
2018,February,Soy sauce,123
2018,February,Barbecue sauce,124
2018,March,Mayonnaise,239
2018,March,Ketchup,126
2018,March,Mustard,198
2018,March,Soy sauce,116
2018,March,Barbecue sauce,117
2018,April,Mayonnaise,330
2018,April,Ketchup,159
2018,April,Mustard,227
2018,April,Soy sauce,142
2018,April,Barbecue sauce,165
2018,May,Mayonnaise,279
2018,May,Ketchup,128
2018,May,Mustard,183
2018,May,Soy sauce,111
2018,May,Barbecue sauce,166
2018,June,Mayonnaise,270
2018,June,Ketchup,131
2018,June,Mustard,185
2018,June,Soy sauce,118
2018,June,Barbecue sauce,161
2018,July,Mayonnaise,361
2018,July,Ketchup,162
2018,July,Mustard,232
2018,July,Soy sauce,154
2018,July,Barbecue sauce,211
2018,August,Mayonnaise,267
2018,August,Ketchup,121
2018,August,Mustard,176
2018,August,Soy sauce,118
2018,August,Barbecue sauce,140
2018,September,Mayonnaise,289
2018,September,Ketchup,152
2018,September,Mustard,213
2018,September,Soy sauce,140
2018,September,Barbecue sauce,157
2018,October,Mayonnaise,207
2018,October,Ketchup,120
2018,October,Mustard,170
2018,October,Soy sauce,112
2018,October,Barbecue sauce,108
2018,November,Mayonnaise,221
2018,November,Ketchup,121
2018,November,Mustard,194
2018,November,Soy sauce,111
2018,November,Barbecue sauce,105
2018,December,Mayonnaise,291
2018,December,Ketchup,153
2018,December,Mustard,261
2018,December,Soy sauce,160
2018,December,Barbecue sauce,164
2019,January,Mayonnaise,258
2019,January,Ketchup,140
2019,January,Mustard,195
2019,January,Soy sauce,140
2019,January,Barbecue sauce,136
2019,February,Mayonnaise,244
2019,February,Ketchup,130
2019,February,Mustard,179
2019,February,Soy sauce,130
2019,February,Barbecue sauce,138
2019,March,Mayonnaise,312
2019,March,Ketchup,156
2019,March,Mustard,238
2019,March,Soy sauce,149
2019,March,Barbecue sauce,198
2019,April,Mayonnaise,267
2019,April,Ketchup,122
2019,April,Mustard,195
2019,April,Soy sauce,116
2019,April,Barbecue sauce,141
2019,May,Mayonnaise,271
2019,May,Ketchup,123
2019,May,Mustard,184
2019,May,Soy sauce,112
2019,May,Barbecue sauce,167
2019,June,Mayonnaise,347
2019,June,Ketchup,155
2019,June,Mustard,243
2019,June,Soy sauce,152
2019,June,Barbecue sauce,225
2019,July,Mayonnaise,281
2019,July,Ketchup,136
2019,July,Mustard,196
2019,July,Soy sauce,125
2019,July,Barbecue sauce,154
2019,August,Mayonnaise,277
2019,August,Ketchup,132
2019,August,Mustard,185
2019,August,Soy sauce,123
2019,August,Barbecue sauce,152
2019,September,Mayonnaise,291
2019,September,Ketchup,158
2019,September,Mustard,229
2019,September,Soy sauce,139
2019,September,Barbecue sauce,162
2019,October,Mayonnaise,218
2019,October,Ketchup,124
2019,October,Mustard,181
2019,October,Soy sauce,114
2019,October,Barbecue sauce,112
2019,November,Mayonnaise,247
2019,November,Ketchup,112
2019,November,Mustard,193
