Year,Month,Category,Value
2018,January,E-Skateboard,142
2018,February,E-Skateboard,137
2018,March,E-Skateboard,158
2018,April,E-Skateboard,226
2018,May,E-Skateboard,186
2018,June,E-Skateboard,209
2018,July,E-Skateboard,246
2018,August,E-Skateboard,210
2018,September,E-Skateboard,265
2018,October,E-Skateboard,184
2018,November,E-Skateboard,213
2018,December,E-Skateboard,232
2019,January,E-Skateboard,126
2019,February,E-Skateboard,126
2019,March,E-Skateboard,173
2019,April,E-Skateboard,182
2019,May,E-Skateboard,171
2019,June,E-Skateboard,243
2019,July,E-Skateboard,217
2019,August,E-Skateboard,192
2019,September,E-Skateboard,246
2019,October,E-Skateboard,175
2019,November,E-Skateboard,203
2019,December,E-Skateboard,237
2020,January,E-Skateboard,131
2020,February,E-Skateboard,139
2020,March,E-Skateboard,175
2020,April,E-Skateboard,209
2020,May,E-Skateboard,322
2020,June,E-Skateboard,345
2020,July,E-Skateboard,263
2020,August,E-Skateboard,285
2020,September,E-Skateboard,199
2020,October,E-Skateboard,190
2020,November,E-Skateboard,304
2020,December,E-Skateboard,251
2021,January,E-Skateboard,171
2021,February,E-Skateboard,141
2021,March,E-Skateboard,191
2021,April,E-Skateboard,193
2021,May,E-Skateboard,231
2021,June,E-Skateboard,201
2021,July,E-Skateboard,194
2021,August,E-Skateboard,275
2021,September,E-Skateboard,200
2021,October,E-Skateboard,233
2021,November,E-Skateboard,248
2021,December,E-Skateboard,210
2022,January,E-Skateboard,150
2022,February,E-Skateboard,140
2022,March,E-Skateboard,165
2022,April,E-Skateboard,176
2022,May,E-Skateboard,234
2022,June,E-Skateboard,200
2022,July,E-Skateboard,254
2022,August,E-Skateboard,200
2022,September,E-Skateboard,184
2022,October,E-Skateboard,192
2022,November,E-Skateboard,184
2022,December,E-Skateboard,180
