Year,Month,Category,Value
2018,January,Home Improvement,165
2018,February,Home Improvement,181
2018,March,Home Improvement,180
2018,April,Home Improvement,234
2018,May,Home Improvement,166
2018,June,Home Improvement,173
2018,July,Home Improvement,222
2018,August,Home Improvement,174
2018,September,Home Improvement,205
2018,October,Home Improvement,160
2018,November,Home Improvement,145
2018,December,Home Improvement,184
2019,January,Home Improvement,181
2019,February,Home Improvement,201
2019,March,Home Improvement,253
2019,April,Home Improvement,202
2019,May,Home Improvement,198
2019,June,Home Improvement,252
2019,July,Home Improvement,205
2019,August,Home Improvement,195
2019,September,Home Improvement,232
2019,October,Home Improvement,163
2019,November,Home Improvement,150
2019,December,Home Improvement,209
2020,January,Home Improvement,196
2020,February,Home Improvement,271
2020,March,Home Improvement,274
2020,April,Home Improvement,237
2020,May,Home Improvement,335
2020,June,Home Improvement,287
2020,July,Home Improvement,293
2020,August,Home Improvement,353
2020,September,Home Improvement,269
2020,October,Home Improvement,290
2020,November,Home Improvement,324
2020,December,Home Improvement,256
2021,January,Home Improvement,351
2021,February,Home Improvement,278
2021,March,Home Improvement,288
2021,April,Home Improvement,304
2021,May,Home Improvement,384
2021,June,Home Improvement,282
2021,July,Home Improvement,276
2021,August,Home Improvement,370
2021,September,Home Improvement,325
2021,October,Home Improvement,325
2021,November,Home Improvement,245
2021,December,Home Improvement,256
2022,January,Home Improvement,295
2022,February,Home Improvement,250
2022,March,Home Improvement,248
2022,April,Home Improvement,238
2022,May,Home Improvement,283
2022,June,Home Improvement,225
2022,July,Home Improvement,325
2022,August,Home Improvement,203
2022,September,Home Improvement,187
2022,October,Home Improvement,221
2022,November,Home Improvement,155
2022,December,Home Improvement,165
