Year,Month,Category,Value
2018,January,Interior design,316
2018,February,Interior design,327
2018,March,Interior design,308
2018,April,Interior design,384
2018,May,Interior design,287
2018,June,Interior design,290
2018,July,Interior design,382
2018,August,Interior design,320
2018,September,Interior design,377
2018,October,Interior design,287
2018,November,Interior design,274
2018,December,Interior design,328
2019,January,Interior design,325
2019,February,Interior design,311
2019,March,Interior design,388
2019,April,Interior design,292
2019,May,Interior design,290
2019,June,Interior design,361
2019,July,Interior design,302
2019,August,Interior design,293
2019,September,Interior design,388
2019,October,Interior design,295
2019,November,Interior design,299
2019,December,Interior design,340
2020,January,Interior design,348
2020,February,Interior design,327
2020,March,Interior design,354
2020,April,Interior design,332
2020,May,Interior design,432
2020,June,Interior design,363
2020,July,Interior design,373
2020,August,Interior design,465
2020,September,Interior design,361
2020,October,Interior design,350
2020,November,Interior design,394
2020,December,Interior design,310
2021,January,Interior design,472
2021,February,Interior design,379
2021,March,Interior design,357
2021,April,Interior design,357
2021,May,Interior design,441
2021,June,Interior design,341
2021,July,Interior design,347
2021,August,Interior design,432
2021,September,Interior design,345
2021,October,Interior design,464
2021,November,Interior design,324
2021,December,Interior design,300
2022,January,Interior design,467
2022,February,Interior design,386
2022,March,Interior design,382
2022,April,Interior design,374
2022,May,Interior design,434
2022,June,Interior design,345
2022,July,Interior design,460
2022,August,Interior design,370
2022,September,Interior design,352
2022,October,Interior design,428
2022,November,Interior design,306
2022,December,Interior design,305
