Year,Month,Category,Value
2018,January,Keto,139
2018,February,Keto,131
2018,March,Keto,132
2018,April,Keto,205
2018,May,Keto,198
2018,June,Keto,212
2018,July,Keto,303
2018,August,Keto,244
2018,September,Keto,236
2018,October,Keto,177
2018,November,Keto,161
2018,December,Keto,246
2019,January,Keto,343
2019,February,Keto,259
2019,March,Keto,294
2019,April,Keto,214
2019,May,Keto,202
2019,June,Keto,259
2019,July,Keto,205
2019,August,Keto,210
2019,September,Keto,239
2019,October,Keto,183
2019,November,Keto,158
2019,December,Keto,184
2020,January,Keto,256
2020,February,Keto,194
2020,March,Keto,166
2020,April,Keto,141
2020,May,Keto,214
2020,June,Keto,181
2020,July,Keto,170
2020,August,Keto,192
2020,September,Keto,141
2020,October,Keto,138
2020,November,Keto,137
2020,December,Keto,103
2021,January,Keto,226
2021,February,Keto,155
2021,March,Keto,145
2021,April,Keto,136
2021,May,Keto,149
2021,June,Keto,113
2021,July,Keto,108
2021,August,Keto,117
2021,September,Keto,84
2021,October,Keto,106
2021,November,Keto,76
2021,December,Keto,66
2022,January,Keto,150
2022,February,Keto,114
2022,March,Keto,115
2022,April,Keto,104
2022,May,Keto,116
2022,June,Keto,96
2022,July,Keto,117
2022,August,Keto,87
2022,September,Keto,77
2022,October,Keto,87
2022,November,Keto,63
2022,December,Keto,60
