Year,Month,Category,Value
2018,January,Jimmy Fallon,192
2018,January,Seth Meyers,98
2018,January,Stephen Colbert,175
2018,January,Trevor Noah,89
2018,January,James Corden,77
2018,February,Jimmy Fallon,197
2018,February,Seth Meyers,46
2018,February,Stephen Colbert,145
2018,February,Trevor Noah,78
2018,February,James Corden,48
2018,March,Jimmy Fallon,155
2018,March,Seth Meyers,46
2018,March,Stephen Colbert,172
2018,March,Trevor Noah,61
2018,March,James Corden,47
2018,April,Jimmy Fallon,223
2018,April,Seth Meyers,109
2018,April,Stephen Colbert,189
2018,April,Trevor Noah,83
2018,April,James Corden,60
2018,May,Jimmy Fallon,142
2018,May,Seth Meyers,47
2018,May,Stephen Colbert,124
2018,May,Trevor Noah,64
2018,May,James Corden,64
2018,June,Jimmy Fallon,196
2018,June,Seth Meyers,44
2018,June,Stephen Colbert,160
2018,June,Trevor Noah,69
2018,June,James Corden,119
2018,July,Jimmy Fallon,177
2018,July,Seth Meyers,53
2018,July,Stephen Colbert,176
2018,July,Trevor Noah,107
2018,July,James Corden,82
2018,August,Jimmy Fallon,133
2018,August,Seth Meyers,42
2018,August,Stephen Colbert,143
2018,August,Trevor Noah,65
2018,August,James Corden,80
2018,September,Jimmy Fallon,235
2018,September,Seth Meyers,57
2018,September,Stephen Colbert,216
2018,September,Trevor Noah,96
2018,September,James Corden,63
2018,October,Jimmy Fallon,177
2018,October,Seth Meyers,58
2018,October,Stephen Colbert,141
2018,October,Trevor Noah,91
2018,October,James Corden,49
2018,November,Jimmy Fallon,159
2018,November,Seth Meyers,44
2018,November,Stephen Colbert,160
2018,November,Trevor Noah,106
2018,November,James Corden,67
2018,December,Jimmy Fallon,221
2018,December,Seth Meyers,48
2018,December,Stephen Colbert,160
2018,December,Trevor Noah,116
2018,December,James Corden,98
2019,January,Jimmy Fallon,152
2019,January,Seth Meyers,56
2019,January,Stephen Colbert,157
2019,January,Trevor Noah,86
2019,January,James Corden,58
2019,February,Jimmy Fallon,169
2019,February,Seth Meyers,58
2019,February,Stephen Colbert,149
2019,February,Trevor Noah,116
2019,February,James Corden,67
2019,March,Jimmy Fallon,174
2019,March,Seth Meyers,53
2019,March,Stephen Colbert,160
2019,March,Trevor Noah,93
2019,March,James Corden,77
2019,April,Jimmy Fallon,140
2019,April,Seth Meyers,38
2019,April,Stephen Colbert,108
2019,April,Trevor Noah,90
2019,April,James Corden,42
2019,May,Jimmy Fallon,132
2019,May,Seth Meyers,53
2019,May,Stephen Colbert,128
2019,May,Trevor Noah,70
2019,May,James Corden,63
2019,June,Jimmy Fallon,155
2019,June,Seth Meyers,56
2019,June,Stephen Colbert,141
2019,June,Trevor Noah,99
2019,June,James Corden,102
2019,July,Jimmy Fallon,115
2019,July,Seth Meyers,39
2019,July,Stephen Colbert,120
2019,July,Trevor Noah,67
2019,July,James Corden,45
2019,August,Jimmy Fallon,103
2019,August,Seth Meyers,36
2019,August,Stephen Colbert,159
2019,August,Trevor Noah,74
2019,August,James Corden,38
2019,September,Jimmy Fallon,162
2019,September,Seth Meyers,51
2019,September,Stephen Colbert,163
2019,September,Trevor Noah,88
2019,September,James Corden,51
2019,October,Jimmy Fallon,144
2019,October,Seth Meyers,46
2019,October,Stephen Colbert,135
2019,October,Trevor Noah,76
2019,October,James Corden,39
2019,November,Jimmy Fallon,154
2019,November,Seth Meyers,121
2019,November,Stephen Colbert,135
2019,November,Trevor Noah,89
2019,November,James Corden,54
2019,December,Jimmy Fallon,169
2019,December,Seth Meyers,61
2019,December,Stephen Colbert,127
2019,December,Trevor Noah,83
2019,December,James Corden,86
2020,January,Jimmy Fallon,150
2020,January,Seth Meyers,51
2020,January,Stephen Colbert,116
2020,January,Trevor Noah,72
2020,January,James Corden,87
2020,February,Jimmy Fallon,166
2020,February,Seth Meyers,43
2020,February,Stephen Colbert,109
2020,February,Trevor Noah,78
2020,February,James Corden,64
2020,March,Jimmy Fallon,292
2020,March,Seth Meyers,51
2020,March,Stephen Colbert,144
2020,March,Trevor Noah,139
2020,March,James Corden,66
2020,April,Jimmy Fallon,210
2020,April,Seth Meyers,45
2020,April,Stephen Colbert,122
2020,April,Trevor Noah,86
2020,April,James Corden,47
2020,May,Jimmy Fallon,266
2020,May,Seth Meyers,52
2020,May,Stephen Colbert,118
2020,May,Trevor Noah,125
2020,May,James Corden,45
2020,June,Jimmy Fallon,116
2020,June,Seth Meyers,39
2020,June,Stephen Colbert,96
2020,June,Trevor Noah,114
2020,June,James Corden,30
2020,July,Jimmy Fallon,91
2020,July,Seth Meyers,37
2020,July,Stephen Colbert,90
2020,July,Trevor Noah,79
2020,July,James Corden,28
2020,August,Jimmy Fallon,96
2020,August,Seth Meyers,48
2020,August,Stephen Colbert,135
2020,August,Trevor Noah,111
2020,August,James Corden,46
2020,September,Jimmy Fallon,85
2020,September,Seth Meyers,35
2020,September,Stephen Colbert,91
2020,September,Trevor Noah,96
2020,September,James Corden,30
2020,October,Jimmy Fallon,82
2020,October,Seth Meyers,41
2020,October,Stephen Colbert,105
2020,October,Trevor Noah,79
2020,October,James Corden,49
2020,November,Jimmy Fallon,130
2020,November,Seth Meyers,53
2020,November,Stephen Colbert,179
2020,November,Trevor Noah,96
2020,November,James Corden,63
2020,December,Jimmy Fallon,108
2020,December,Seth Meyers,33
2020,December,Stephen Colbert,89
2020,December,Trevor Noah,48
2020,December,James Corden,91
2021,January,Jimmy Fallon,113
2021,January,Seth Meyers,57
2021,January,Stephen Colbert,165
2021,January,Trevor Noah,124
2021,January,James Corden,66
2021,February,Jimmy Fallon,88
2021,February,Seth Meyers,31
2021,February,Stephen Colbert,79
2021,February,Trevor Noah,73
2021,February,James Corden,73
2021,March,Jimmy Fallon,92
2021,March,Seth Meyers,30
2021,March,Stephen Colbert,68
2021,March,Trevor Noah,79
2021,March,James Corden,41
2021,April,Jimmy Fallon,87
2021,April,Seth Meyers,25
2021,April,Stephen Colbert,68
2021,April,Trevor Noah,43
2021,April,James Corden,44
2021,May,Jimmy Fallon,93
2021,May,Seth Meyers,33
2021,May,Stephen Colbert,79
2021,May,Trevor Noah,62
2021,May,James Corden,55
2021,June,Jimmy Fallon,70
2021,June,Seth Meyers,26
2021,June,Stephen Colbert,95
2021,June,Trevor Noah,43
2021,June,James Corden,59
2021,July,Jimmy Fallon,71
2021,July,Seth Meyers,23
2021,July,Stephen Colbert,66
2021,July,Trevor Noah,27
2021,July,James Corden,25
2021,August,Jimmy Fallon,78
2021,August,Seth Meyers,29
2021,August,Stephen Colbert,86
2021,August,Trevor Noah,39
2021,August,James Corden,42
2021,September,Jimmy Fallon,64
2021,September,Seth Meyers,33
2021,September,Stephen Colbert,74
2021,September,Trevor Noah,48
2021,September,James Corden,61
2021,October,Jimmy Fallon,110
2021,October,Seth Meyers,33
2021,October,Stephen Colbert,79
2021,October,Trevor Noah,57
2021,October,James Corden,50
2021,November,Jimmy Fallon,133
2021,November,Seth Meyers,39
2021,November,Stephen Colbert,74
2021,November,Trevor Noah,48
2021,November,James Corden,63
2021,December,Jimmy Fallon,141
2021,December,Seth Meyers,26
2021,December,Stephen Colbert,65
2021,December,Trevor Noah,101
2021,December,James Corden,41
2022,January,Jimmy Fallon,161
2022,January,Seth Meyers,39
2022,January,Stephen Colbert,120
2022,January,Trevor Noah,61
2022,January,James Corden,51
2022,February,Jimmy Fallon,86
2022,February,Seth Meyers,23
2022,February,Stephen Colbert,77
2022,February,Trevor Noah,43
2022,February,James Corden,27
2022,March,Jimmy Fallon,94
2022,March,Seth Meyers,39
2022,March,Stephen Colbert,87
2022,March,Trevor Noah,130
2022,March,James Corden,32
2022,April,Jimmy Fallon,83
2022,April,Seth Meyers,27
2022,April,Stephen Colbert,89
2022,April,Trevor Noah,63
2022,April,James Corden,58
2022,May,Jimmy Fallon,100
2022,May,Seth Meyers,39
2022,May,Stephen Colbert,112
2022,May,Trevor Noah,102
2022,May,James Corden,107
2022,June,Jimmy Fallon,104
2022,June,Seth Meyers,34
2022,June,Stephen Colbert,148
2022,June,Trevor Noah,51
2022,June,James Corden,59
2022,July,Jimmy Fallon,131
2022,July,Seth Meyers,33
2022,July,Stephen Colbert,107
2022,July,Trevor Noah,51
2022,July,James Corden,44
2022,August,Jimmy Fallon,120
2022,August,Seth Meyers,29
2022,August,Stephen Colbert,94
2022,August,Trevor Noah,44
2022,August,James Corden,30
2022,September,Jimmy Fallon,97
2022,September,Seth Meyers,31
2022,September,Stephen Colbert,90
2022,September,Trevor Noah,115
2022,September,James Corden,34
2022,October,Jimmy Fallon,108
2022,October,Seth Meyers,32
2022,October,Stephen Colbert,119
2022,October,Trevor Noah,142
2022,October,James Corden,158
2022,November,Jimmy Fallon,168
2022,November,Seth Meyers,26
2022,November,Stephen Colbert,97
2022,November,Trevor Noah,105
2022,November,James Corden,42
2022,December,Jimmy Fallon,101
2022,December,Seth Meyers,30
2022,December,Stephen Colbert,64
2022,December,Trevor Noah,129
2022,December,James Corden,43
