Year,Month,Category,Value
2018,January,Lego,148
2018,February,Lego,134
2018,March,Lego,125
2018,April,Lego,147
2018,May,Lego,116
2018,June,Lego,126
2018,July,Lego,174
2018,August,Lego,135
2018,September,Lego,148
2018,October,Lego,118
2018,November,Lego,193
2018,December,Lego,251
2019,January,Lego,129
2019,February,Lego,128
2019,March,Lego,149
2019,April,Lego,113
2019,May,Lego,115
2019,June,Lego,153
2019,July,Lego,126
2019,August,Lego,124
2019,September,Lego,147
2019,October,Lego,113
2019,November,Lego,174
2019,December,Lego,308
2020,January,Lego,191
2020,February,Lego,150
2020,March,Lego,200
2020,April,Lego,199
2020,May,Lego,241
2020,June,Lego,163
2020,July,Lego,169
2020,August,Lego,209
2020,September,Lego,152
2020,October,Lego,147
2020,November,Lego,281
2020,December,Lego,269
2021,January,Lego,226
2021,February,Lego,160
2021,March,Lego,148
2021,April,Lego,138
2021,May,Lego,188
2021,June,Lego,154
2021,July,Lego,169
2021,August,Lego,208
2021,September,Lego,151
2021,October,Lego,238
2021,November,Lego,253
2021,December,Lego,282
2022,January,Lego,272
2022,February,Lego,189
2022,March,Lego,191
2022,April,Lego,237
2022,May,Lego,267
2022,June,Lego,217
2022,July,Lego,297
2022,August,Lego,205
2022,September,Lego,179
2022,October,Lego,247
2022,November,Lego,289
2022,December,Lego,345
