Year,Month,Category,Value
2018,January,Suitcase,211
2018,February,Suitcase,216
2018,March,Suitcase,232
2018,April,Suitcase,295
2018,May,Suitcase,248
2018,June,Suitcase,268
2018,July,Suitcase,342
2018,August,Suitcase,247
2018,September,Suitcase,272
2018,October,Suitcase,210
2018,November,Suitcase,273
2018,December,Suitcase,350
2019,January,Suitcase,228
2019,February,Suitcase,256
2019,March,Suitcase,326
2019,April,Suitcase,240
2019,May,Suitcase,272
2019,June,Suitcase,359
2019,July,Suitcase,294
2019,August,Suitcase,255
2019,September,Suitcase,294
2019,October,Suitcase,220
2019,November,Suitcase,280
2019,December,Suitcase,369
2020,January,Suitcase,260
2020,February,Suitcase,247
2020,March,Suitcase,198
2020,April,Suitcase,121
2020,May,Suitcase,172
2020,June,Suitcase,211
2020,July,Suitcase,189
2020,August,Suitcase,213
2020,September,Suitcase,179
2020,October,Suitcase,175
2020,November,Suitcase,295
2020,December,Suitcase,219
2021,January,Suitcase,223
2021,February,Suitcase,198
2021,March,Suitcase,217
2021,April,Suitcase,235
2021,May,Suitcase,326
2021,June,Suitcase,313
2021,July,Suitcase,321
2021,August,Suitcase,345
2021,September,Suitcase,244
2021,October,Suitcase,328
2021,November,Suitcase,324
2021,December,Suitcase,297
2022,January,Suitcase,324
2022,February,Suitcase,275
2022,March,Suitcase,318
2022,April,Suitcase,285
2022,May,Suitcase,405
2022,June,Suitcase,356
2022,July,Suitcase,468
2022,August,Suitcase,323
2022,September,Suitcase,305
2022,October,Suitcase,358
2022,November,Suitcase,340
2022,December,Suitcase,359
