Year,Month,Category,Value
2018,January,Whiteboard,166
2018,February,Whiteboard,152
2018,March,Whiteboard,151
2018,April,Whiteboard,180
2018,May,Whiteboard,141
2018,June,Whiteboard,140
2018,July,Whiteboard,197
2018,August,Whiteboard,210
2018,September,Whiteboard,222
2018,October,Whiteboard,157
2018,November,Whiteboard,148
2018,December,Whiteboard,186
2019,January,Whiteboard,163
2019,February,Whiteboard,150
2019,March,Whiteboard,186
2019,April,Whiteboard,138
2019,May,Whiteboard,138
2019,June,Whiteboard,171
2019,July,Whiteboard,161
2019,August,Whiteboard,204
2019,September,Whiteboard,219
2019,October,Whiteboard,155
2019,November,Whiteboard,153
2019,December,Whiteboard,184
2020,January,Whiteboard,164
2020,February,Whiteboard,160
2020,March,Whiteboard,272
2020,April,Whiteboard,233
2020,May,Whiteboard,256
2020,June,Whiteboard,174
2020,July,Whiteboard,205
2020,August,Whiteboard,433
2020,September,Whiteboard,303
2020,October,Whiteboard,206
2020,November,Whiteboard,221
2020,December,Whiteboard,159
2021,January,Whiteboard,237
2021,February,Whiteboard,175
2021,March,Whiteboard,157
2021,April,Whiteboard,158
2021,May,Whiteboard,185
2021,June,Whiteboard,140
2021,July,Whiteboard,162
2021,August,Whiteboard,233
2021,September,Whiteboard,175
2021,October,Whiteboard,220
2021,November,Whiteboard,164
2021,December,Whiteboard,147
2022,January,Whiteboard,224
2022,February,Whiteboard,174
2022,March,Whiteboard,168
2022,April,Whiteboard,184
2022,May,Whiteboard,223
2022,June,Whiteboard,165
2022,July,Whiteboard,239
2022,August,Whiteboard,238
2022,September,Whiteboard,206
2022,October,Whiteboard,245
2022,November,Whiteboard,188
2022,December,Whiteboard,171
